ID,NAME,HP_BASE,HP_GROW,MP_BASE,MP_GROW,ATK_BASE,ATK_GROW,DEF_BASE,DEF_GROW,SPD_BASE,SPD_GROW
1,基础平衡型Ⅰ,200,40,50,1,20,2,10,2,40,6
2,基础攻击型Ⅰ,160,40,50,1,30,4,10,2,35,6
3,基础防御型Ⅰ,210,40,50,1,20,2,15,4,30,5
4,基础血牛型Ⅰ,267,60,50,1,19,2,10,2,30,5
5,基础平衡型Ⅱ,240,50,65,1,22,3,11,3,43,7
6,基础攻击型Ⅱ,203,50,63,1,35,5,10,3,37,6
7,基础防御型Ⅱ,263,50,65,1,21,3,16,5,32,5
8,基础血牛型Ⅱ,342,70,65,1,20,3,10,3,30,5
9,基础平衡型Ⅲ,300,60,80,1,24,4,13,4,47,8
10,基础攻击型Ⅲ,243,60,75,1,39,6,12,4,44,7
11,基础防御型Ⅲ,320,60,80,1,22,4,19,6,36,6
12,基础血牛型Ⅲ,389,86,80,1,21,4,14,4,34,5
